年度,抽蓄水力(台電),燃油(台電),燃煤(台電),燃氣(台電),核能(台電),地熱(台電),慣常水力(台電),風力(台電),太陽能(台電),台電自有電力,燃煤(購電),燃氣(購電),地熱(購電),承攬水力(購電),水力(購電),風力(購電),太陽能(購電),生質能(購電),垃圾沼氣(購電),汽電共生(購電),購電合計,發購電量
1982,-   ,19638265755,3973818948, -   ,12521251700,8282490,4285666932, -   , -   ,40427285825, -   , -   , -   ,471800016,0,0,0,0,0,0,471800016,40899085841
1983, -   ,14746615494,7660622669, -   ,18137926900,4545145,4409585743, -   , -   ,44959295951, -   , -   , -   ,557818356,0,0,0,0,0,0,557818356,45517114307
1984,43942000,9405776795,11871695711, -   ,23594833300,3505990,3792966847, -   , -   ,48712720643, -   , -   , -   ,573096220,0,0,0,0,0,0,573096220,49285816863
1985,925009000,5029882803,13076842016, -   ,27545551800,2955880,5335647468, -   , -   ,51915888967, -   , -   , -   ,639892248,0,0,0,0,0,0,639892248,52555781215
1986,1288842000,7140023557,18648878482, -   ,25837084900,4532100,5406723155, -   , -   ,58326084194, -   , -   , -   ,704816316,0,0,0,0,0,0,704816316,59030900510
1987,1609290000,5956141803,20662253302, -   ,31799044200,2827200,4676822243, -   , -   ,64706378748, -   , -   , -   ,808338020,0,0,0,0,0,0,808338020,65514716768
1988,1479554000,15044433003,21065632203, -   ,29395111000,3104360,3954371185, -   , -   ,70942205751, -   , -   , -   ,698240648,345760,0,0,0,0,0,698586408,71640792159
1989,1818871000,20849369550,22298059616, -   ,27100218000,2897840,3971920255, -   , -   ,76041336261, -   , -   ,340000,867316608,413320,0,0,0,0,0,868069928,76909406189
1990,1806807000,20873569916,20466886800,1008167800,31554017000,2692560,5272512672, -   , -   ,80984653748, -   , -   ,96160,1086391400,644640,0,0,0,0,277920000,1365052200,82349705948
1991,1654416000,23726957067,23463294937,2572315700,33878213000,1566285,3119918078, -   , -   ,88416681067, -   , -   ,186400,711222000,528880,0,0,0,0,510846000,1222783280,89639464347
1992,1795208000,19630625101,29702177082,2723188400,32470846000,1819080,5554219054, -   , -   ,91878082717, -   , -   ,110920,976185600,506960,0,0,0,0,1029766526,2006570006,93884652723
1993,2610009000,23366647320,35186245470,2281081110,32986199000,1319490,3423047056, -   , -   ,99854548446, -   , -   ,63520,662514100,401320,0,0,0,0,1266382024,1929360964,101784000000
1994,3825095000,23493895198,38175508600,4966074100,33480370000, -   ,4219867194, -   , -   ,108161000000, -   , -   ,34200,819633000,540560,0,0,0,0,1295340111,2115547871,110276000000
1995,4039912000,28429640106,39079118252,5401293730,33930532000, -   ,4089729265, -   , -   ,114970000000, -   , -   ,13280,727791800,633720,0,0,0,0,2160575300,2889014100,117859000000
1996,4300856000,24302332617,46591177200,5756563619,36333155360, -   ,4029620377, -   , -   ,121314000000, -   , -   , -   ,690816100,508360,0,0,0,0,2967894800,3659219260,124973000000
1997,4321322000,25113245239,51098875630,8539127500,34845636250, -   ,4307710696, -   , -   ,128226000000, -   , -   , -   ,913516600,470080,0,0,0,0,3107760444,4021747124,132248000000
1998,4406088000,25138634743,54797981460,13736501300,35407827940, -   ,5169081415, -   , -   ,138656000000, -   , -   , -   ,1007827200,612080,0,0,0,0,3299633364,4308072644,142964000000
1999,3891227000,25376809974,52732404800,14529531200,36907042640, -   ,4223508328, -   , -   ,137661000000,3441288900,58279200, -   ,802223700,412000,0,0,0,0,3798708565,8100912365,145761000000
2000,4302620000,24221078981,53156340917,15928354400,36996451260, -   ,3551248446, -   , -   ,138156000000,8653621500,567224900, -   ,989466200,28480,0,0,0,0,8144941153,18355282233,156511000000
2001,4069871000,19801837561,54939902488,18367299730,34093984700, -   ,4161107719,4504690, -   ,135439000000,12360469639,1256204533, -   ,907034998,,0,0,0,0,8096187511,22619896681,158058000000
2002,3603653000,14913875497,56210710897,19852869600,38009288840, -   ,2185639027,7870853, -   ,134784000000,16913778515,5223757505, -   ,557763360,10860100,0,0,0,0,8411209728,31117369208,165901000000
2003,3851611000,13126356627,57853012399,20934500900,37371086500, -   ,2575108937,9795528, -   ,135721000000,21170523769,6192171916, -   ,413528690,23202600,0,0,0,0,10289401575,38088828550,173810000000
2004,3337694024,10868548345,58552069932,20456077500,37938653020, -   ,2631622127,12796178, -   ,133797000000,19657337701,14239132202, -   ,532475493,22338353,0,0,0,0,12996383486,47447667235,181245000000
2005,3830254000,10429370735,62090357949,22308807600,38403887800, -   ,3340631590,79094971, -   ,140482000000,20600143199,15113257841, -   ,669952530,43680495,0,0,0,0,12753522383,49180556448,189663000000
2006,3902278001,13742812385,64966216526,24385672023,38316606220, -   ,3363581254,174041995, -   ,148851000000,20799984439,14278216717, -   ,643916520,60365925,92664460,0,0,2227784361,9613103803,47716036225,196567000000
2007,3924461000,11634358501,66762477625,28515183279,38960772980, -   ,3401455973,276462957, -   ,153475000000,20741835148,14664502205, -   ,901505180,95021950,153876760,0,0,2315825376,9508201426,48380768045,201856000000
2008,3458878000,10891269389,65398190600,31851324474,39260459020, -   ,3410728799,272689757,96286,154544000000,19937142090,14761377534, -   ,728350850,143927385,329693772,281143,0,2279035200,7517472285,45697280258,200241000000
2009,3289716522,5787799393,60856074306,30117877769,39981033900, -   ,2956848198,371679524,98128,143361000000,22285636393,15383953064, -   ,625238390,147241879,476497737,1079535,0,2261563098,9062909840,50244119936,193605000000
2010,3047150815,7794293961,61353208857,41617022577,40028521280, -   ,3432877119,515203379,3863211,157792000000,22463114463,16382341628, -   ,620310110,115635316,506654196,2388004,0,2356690706,7145456886,49592591309,207385000000
2011,2888972904,6908196165,64193784375,44169762155,40522228950, -   ,3094652735,802966565,8640397,162589000000,21676477718,17881732347, -   ,767756820,113002589,729680215,29455944,0,2392612906,6862233922,50452952461,213042000000
2012,2924174080,5333211802,63845264761,48896306649,38887288140, -   ,4687250302,736544988,13206306,165323000000,22140667291,15195874655, -   ,803649500,157220132,752972081,125249887,0,2373256535,4836066775,46384956856,211708000000
2013,3174130709,4970126583,60423770500,50243443315,40078642480, -   ,4539067821,747796090,16756062,164194000000,21474270921,16047515712, -   ,711657050,149803201,869493475,284353128,0,2430462116,7267411837,49234967440,213429000000
2014,3108279870,6259292458,60824785100,53734242954,40801058460, -   ,3601170841,706536302,22945675,169058000000,21523523872,17181362604, -   ,559034100,134767825,779959178,488778389,0,2494239492,7003644490,50165309950,219224000000
2015,3023125832,10259028826,57079618998,59065990128,35143029380, -   ,3748464276,716469180,25248007,169061000000,21162897376,17849419057, -   ,587463840,111610426,787022767,785513709,1348213,2525550023,6232051401,50042876812,219104000000
2016,3281640653,10033892775,61942326307,62136438227,30461100600, -   ,5518913061,645737798,23225684,174043000000,21371337242,19048484851, -   ,852364330,165661928,800796276,1044856970,2690794,2544797214,5918869650,51749859255,225793000000
2017,3321950233,11174707147,69523538874,69634899910,21560475160, -   ,4502682949,745773669,24142739,180488000000,20995987155,19486097671, -   ,777258710,144043589,951602170,1596763302,3125038,2500548708,4136883712,50592310055,231080000000
2018,3358770138,6593224485,70831348857,70904439696,26656427760, -   ,3555454290,730519289,31320117,182662000000,19683154534,19199238782,1473,756575322,132496880,912962636,2630652118,5763993,2658446839,4647710125,50627002702,233289000000
2019,3195720379,4425649480,67429328362,68722551336,31147437760, -   ,4623268203,752321710,147163782,180443000000,19317763998,20036968933,756709,769079280,125963680,1065570224,3815448075,13214480,2734639851,4149536875,52028942105,232472000000
2020,3146850061,3064045067,66269016750,77632330070,30341914480, -   ,2388983476,775222341,254242353,183873000000,20784080445,19807410606,1675809,515718554,92363806,1286325094,5750700060,23039216,2691976342,4102337594,55055627526,238928000000
